level,categorical_encoding,rank_Average,f1_mean_Average,f1_std_Average,rank_Single,f1_mean_Single,f1_std_Single,rank_Single_OA,f1_mean_Single_OA,f1_std_Single_OA,rank_Order,f1_mean_Order,f1_std_Order,rank_Attribute,f1_mean_Attribute,f1_std_Attribute,rank_Arrival Time,f1_mean_Arrival Time,f1_std_Arrival Time,rank_Workload,f1_mean_Workload,f1_std_Workload,run_time_mean,run_time_std
event,Fixed-Vector,5.33,0.05388934981930275,0.024275939139578536,5.61,0.14159852659764383,0.04703908629868879,4.94,0.046254363634565414,0.032510831647950066,2.5,0.05012685634402177,0.0364355255649847,5.06,0.0458145908922385,0.03227178465047712,2.72,0.03296541193295911,0.024218755321252394,4.83,0.08665054010799161,0.00848752629624965,76.12677987151676,23.36574107156538
attribute,One-Hot,3.56,0.0327717544703049,0.016785419630152783,2.5,0.030052750315265046,0.013469159229134338,2.11,0.02692161596003128,0.019432710894859918,5.44,0.03736250444095992,0.02689289489205244,3.22,0.019482214983279008,0.014281996731696375,5.56,0.029896533220616417,0.02290735877826749,2.33,0.04434576523636424,0.014324046737046079,94.59405982759264,29.467712670377455
attribute,Word2Vec C,4.56,0.03101134306899994,0.017686133352002222,5.0,0.02585233538679803,0.010877062625596566,2.78,0.02517274786156455,0.017842937276076127,3.78,0.04280452176811651,0.03231062674908061,1.78,0.021504138694627223,0.014245751021171324,3.89,0.03124404880562264,0.022343271931085325,5.39,0.027675325933837164,0.003227076080772783,60.045330316219754,14.726632647367039
attribute,Word2Vec ATC,2.44,0.035914270594779446,0.01841582726304602,2.17,0.029265308406340514,0.01051051699225334,4.39,0.02290694939971611,0.016980113535971997,3.39,0.043811709697966515,0.03189524720138082,3.56,0.019030602475975135,0.013692186501857396,2.44,0.03331185766378404,0.023939708346772937,2.0,0.047502912541392085,0.015773258759881843,75.69968491395313,14.957580669680729
attribute,Trace2Vec C,3.56,0.03305915890933053,0.01766456290962723,4.89,0.025887728733092717,0.010739941073148988,3.72,0.024157335520354054,0.016923695650513656,1.33,0.05426968655945916,0.03212279804512821,4.11,0.018609573139533188,0.013352045528258489,4.22,0.031389080859800265,0.023054678967023623,4.44,0.028244578860762766,0.0038582734791476397,60.145340935572115,14.906362802088152
attribute,Trace2Vec ATC,2.22,0.036105723849041566,0.01847180812157849,2.0,0.02934251393732714,0.010598526902121161,4.0,0.022935587446652663,0.01695029565100173,3.56,0.043799727206433534,0.031849867058014035,3.28,0.01904463149878749,0.0136647593055205,2.17,0.03339398677995275,0.02408883278201712,1.72,0.04818454991099251,0.015499531948637972,76.99314031336043,15.631726701085872
attribute,Fixed-Vector,4.67,0.031021977707645185,0.016770933597276563,4.44,0.0261642593519835,0.009789496947728998,4.0,0.02410162410257819,0.01570092749730114,3.5,0.0445713903991883,0.02924981029910344,5.06,0.01774458886807732,0.012546495399835841,2.72,0.03296541193295911,0.024218755321252394,5.11,0.028806519630356013,0.0045464627688344686,76.12677987151676,23.36574107156538
combined,One-Hot,3.94,0.10881427365744395,0.044462036770248264,3.78,0.22833917724129346,0.050412839408963815,3.94,0.08445059256326509,0.06079070555248247,4.94,0.08744676690787222,0.06291490358016982,3.61,0.08425741496197985,0.06073366592021921,5.67,0.06844235426643035,0.050964115621121665,2.11,0.19511055849349346,0.022988450260813958,94.59405982759263,29.074924640576178
combined,Word2Vec C,3.89,0.10377641576693741,0.04543754904238426,4.5,0.22505788089935722,0.05423016790809086,1.72,0.090432627334696,0.0625450954845946,4.33,0.08882379203813275,0.06424807731951637,1.5,0.09228659978977388,0.061344896741518856,2.33,0.07470244991584044,0.05352337311617724,5.17,0.1592928213240026,0.014442586097482541,59.43522836278986,11.907296324301306
combined,Word2Vec ATC,1.78,0.11074979331846657,0.04566842786529814,1.22,0.25253210850110414,0.03960704938217358,4.78,0.0824755378510744,0.059547075096321865,2.94,0.09301790710533142,0.06622494451645805,5.11,0.08081432483547618,0.058720644995849905,2.89,0.07328701429795223,0.05187196707199153,2.06,0.19587992703510645,0.023783483699704726,75.69968491395313,14.698557196003588
combined,Trace2Vec C,3.44,0.10462142249440326,0.04549739341571437,4.28,0.22582305995215896,0.05324560776839298,2.17,0.08950569644163868,0.06330719591722712,1.83,0.09730691138913271,0.06469496889804437,2.17,0.08724749308489299,0.062203730368833074,4.72,0.07041438974145081,0.05081156029518247,3.89,0.16351689576213657,0.015093170921063102,59.51882291127135,12.139954201537424
combined,Trace2Vec ATC,2.61,0.10979573937888248,0.04591482487005472,1.78,0.25207848103284075,0.04006908679918595,4.78,0.08243262019381854,0.059561045428917096,3.28,0.09295166601198605,0.06629108700382808,4.72,0.08085310971288909,0.05865265783313694,3.28,0.07265035407862958,0.051536357808606395,2.72,0.19272782771202523,0.022651768795649015,76.99314031336043,15.373111972792907
combined,Fixed-Vector,5.33,0.10234285918917131,0.04435632920703284,5.44,0.22317178497196247,0.05244912733015488,3.61,0.08531232991610405,0.058717372492489366,3.67,0.09019713066578142,0.06293841213224288,3.89,0.0833515106553029,0.05724046225246987,2.11,0.07587907838385338,0.0544991071257207,5.06,0.15994371705174754,0.015656648596413403,76.12677987151676,18.11161379934561
